destination,file,source_page,source_note
Hot Air Balloon Pokhara,hot-air-balloon-pokhara/img1.jpg,https://www.getyourguide.com/pokhara-l277/pokhara-private-hot-air-ballooning-t668767/,Search-sourced activity photograph; admin should confirm reuse rights
Ultralight Flight Pokhara,ultralight-flight-pokhara/img1.jpg,https://www.himalayantrekkingpath.com/ultralight-flight-in-pokhara,Search-sourced activity photograph; admin should confirm reuse rights
ZipFlyer Pokhara,zipflyer-pokhara/img1.jpg,https://www.ruggedtrailsnepal.com/zip-flyer-in-nepal,Search-sourced activity photograph; admin should confirm reuse rights
Chhoser Sky Caves,chhoser-sky-caves/img1.jpg,https://nepalhikingteam.com/trekking-to-upper-mustang,Search-sourced place photograph; admin should confirm reuse rights
Gupteswor Gupha,gupteswor-gupha/img1.jpg,https://www.thelonerider.com/2018/apr/gupteshwor_cave/gupteshwor_cave.shtml,Search-sourced place photograph; admin should confirm reuse rights
